SC_Group_ID,SC_Group_Desc,SC_GroupCommod_ID,SC_GroupCommod_Desc,SC_Geography_ID,SortOrder,SC_GeographyIndented_Desc,SC_Commodity_ID,SC_Commodity_Desc,SC_Attribute_ID,SC_Attribute_Desc,SC_Unit_ID,SC_Unit_Desc,Year_ID,SC_Frequency_ID,SC_Frequency_Desc,Timeperiod_ID,Timeperiod_Desc,Amount
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1991,1,"Monthly",8,"Aug",2.51300511175895
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1991,1,"Monthly",9,"Sep",2.45233330834505
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1991,1,"Monthly",10,"Oct",3.20304794785951
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1991,1,"Monthly",11,"Nov",12.0081596465984
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1991,1,"Monthly",12,"Dec",25.7806843920605
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1991,3,"Annual",31,"MY Sep-Aug",884.130056844916
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",1,"Jan",74.2626029615157
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",2,"Feb",64.4099630616977
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",3,"Mar",137.819685307173
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",4,"Apr",125.78804984289
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",5,"May",93.1585260594858
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",6,"Jun",133.355311377347
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",7,"Jul",138.264981120084
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",8,"Aug",73.6267118198589
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",9,"Sep",155.479260694987
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",10,"Oct",88.0051674841193
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",11,"Nov",190.786983313197
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,1,"Monthly",12,"Dec",87.8317959212038
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1992,3,"Annual",31,"MY Sep-Aug",1672.30462524969
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",1,"Jan",111.428540600886
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",2,"Feb",137.678982497252
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",3,"Mar",155.850925422831
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",4,"Apr",165.119802335494
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",5,"May",118.802066558212
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",6,"Jun",169.410780383837
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",7,"Jul",154.198927407927
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",8,"Aug",137.711392629741
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",9,"Sep",125.809668498195
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",10,"Oct",169.756777397823
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",11,"Nov",174.068281248134
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,1,"Monthly",12,"Dec",170.02502962317
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1993,3,"Annual",31,"MY Sep-Aug",1750.58942160588
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",1,"Jan",83.3678310020501
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",2,"Feb",129.534011877592
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",3,"Mar",119.997488944061
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",4,"Apr",140.75617886596
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",5,"May",144.404838032432
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",6,"Jun",174.257801204185
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",7,"Jul",112.907823298415
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",8,"Aug",205.703691613862
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",9,"Sep",149.37223513378
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",10,"Oct",204.533689388046
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",11,"Nov",138.035852607167
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,1,"Monthly",12,"Dec",185.000344134311
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1994,3,"Annual",31,"MY Sep-Aug",1962.78984208701
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",1,"Jan",160.240155431014
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",2,"Feb",135.008184288866
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",3,"Mar",127.562081527286
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",4,"Apr",171.203730340662
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",5,"May",170.832170720462
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",6,"Jun",192.002892205197
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",7,"Jul",165.464099598268
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",8,"Aug",163.534406711948
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",9,"Sep",173.716563500552
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",10,"Oct",146.577303143326
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",11,"Nov",179.342607958132
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,1,"Monthly",12,"Dec",102.144050219919
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1995,3,"Annual",31,"MY Sep-Aug",1886.93746285847
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1996,1,"Monthly",1,"Jan",141.058899137589
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1996,1,"Monthly",2,"Feb",115.4106298268
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1996,1,"Monthly",3,"Mar",176.536524049475
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1996,1,"Monthly",4,"Apr",160.70860789021
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1996,1,"Monthly",5,"May",222.184622409586
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1996,1,"Monthly",6,"Jun",130.248722578319
3,"Exports and imports",12,"Corn",300,1.020,"  Caribbean Basin (CBERA)",2,"Corn",24,"Exports, from U.S. to specified destination",7,"1,000 metric tons",1996,1,"Monthly",7,"Jul",224.975529015738
